objectid,objectid2,date,title,creator,filename,object_location,description,institution,source,source_id,rights,type,display_template,format,genre_type,collection_type
standard_0001,Standard_0001,1887,"Correspondence with John D. Rockefeller, October 1877 to February 1880 ","Warden, William G.",1877-1880--Warden--John_D_Rockefeller_Sr_Papers_Series_C_Correspondence_Subseries_B_Business.pdf,1877-1880--Warden--John_D_Rockefeller_Sr_Papers_Series_C_Correspondence_Subseries_B_Business.pdf,,Rockefeller Archive Center,https://dimes.rockarch.org/objects/hJUxosQ9qDoKS74bZCfrSh,,Fair use,text,pdf,application/pdf,archival document,Standard Oil
standard_0002,Standard_0002,1880,"Correspondence with John D. Rockefeller, March 1880 to May 1881 ","Warden, William G.",1880-1881--Warden--John_D_Rockefeller_Sr_Papers_Series_C_Correspondence_Subseries_B_Business.pdf,1880-1881--Warden--John_D_Rockefeller_Sr_Papers_Series_C_Correspondence_Subseries_B_Business.pdf,,Rockefeller Archive Center,https://dimes.rockarch.org/objects/NGYbCTmfBJyYZRzebx4nyd,,Fair use,text,pdf,application/pdf,archival document,Standard Oil
standard_0003,Standard_0003,1881,"Correspondence with John D. Rockefeller, June 1881 to January 1885 ","Warden, William G.",1881-1885--Warden--John_D_Rockefeller_Sr_Papers_Series_C_Correspondence_Subseries_B_Business.pdf,1881-1885--Warden--John_D_Rockefeller_Sr_Papers_Series_C_Correspondence_Subseries_B_Business.pdf,,Rockefeller Archive Center,https://dimes.rockarch.org/objects/m7KgVKmNSR8yPE9UoCPnwm,,Fair use,text,pdf,application/pdf,archival document,Standard Oil
standard_0004,Standard_0004,1885,"Correspondence with John D. Rockefeller, May 1885 to January 1890 ","Warden, William G.",1885-1890--Warden--John_D_Rockefeller_Sr_Papers_Series_C_Correspondence_Subseries_B_Business.pdf,1885-1890--Warden--John_D_Rockefeller_Sr_Papers_Series_C_Correspondence_Subseries_B_Business.pdf,,Rockefeller Archive Center,https://dimes.rockarch.org/objects/5mMZDLYNnKE4QaWste6QtT,,Fair use,text,pdf,application/pdf,archival document,Standard Oil
ref_0001,Ref_0001,2025,Reckoning with Fossil Fuel in Philadelphia,"Farmer, Jared",2025--Farmer--Reckoning_Fossil_Fuel_Philadelphia.pdf,2025--Farmer--Reckoning_Fossil_Fuel_Philadelphia.pdf,,University of Pennsylvania, ,,Creative Commons License,text,pdf,application/pdf,reference work,
ref_0002,Ref_0002,2025,Fenceline Risk and Environmental Justice in South and Southwest Philadelphia,"Hurdle, Jon",2025--Hurdle--Fenceline_Risk_Environmental_Justice_South_Southwest_Philadelphia.pdf,2025--Hurdle--Fenceline_Risk_Environmental_Justice_South_Southwest_Philadelphia.pdf,,University of Pennsylvania,,,Creative Commons License,text,pdf,application/pdf,reference work,
ref_0003,Ref_0003,2025,Pennsylvania Coal and Philadelphia,"Lester, Gustave; Wolff, Jacob; Farmer, Jared",2025--Lester_Wolff_Farmer--Pennsylvania_Coal_Philadelphia.pdf,2025--Lester_Wolff_Farmer--Pennsylvania_Coal_Philadelphia.pd,,University of Pennsylvania,,,Creative Commons License,text,pdf,application/pdf,reference work,
ref_0004,Ref_0004,2025,"Philadelphia, PGW, and the Gas Works at Point Breeze","McLeod, Angus; Farmer, Jared",2025--McLeod_Farmer--Philadelphia_PGW_Gas_Works_Point_Breeze.pdf,2025--McLeod_Farmer--Philadelphia_PGW_Gas_Works_Point_Breeze.pdf,,University of Pennsylvania,,,Creative Commons License,text,pdf,application/pdf,reference work,
ref_0005,Ref_0005,2025,Lower Schuylkill River,"Pentecost-Farren, Aislinn E.",2025--Pentecost-Farren--Lower_Schuylkill_River.pdf,2025--Pentecost-Farren--Lower_Schuylkill_River.pdf,,University of Pennsylvania,,,Creative Commons License,text,pdf,application/pdf,reference work,
ref_0006,Ref_0006,2025,South Philadelphia Refinery Complex,"Sasko, Claire",2025--Sasko--South_Philadelphia_Refinery_Complex.pdf,2025--Sasko--South_Philadelphia_Refinery_Complex.pdf,,University of Pennsylvania,,,Creative Commons License,text,pdf,application/pdf,reference work,
