title,short
PGW docs,PGW
refinery history and policy docs,Refinery
refinery remediation docs,Remed
DSCP remediation docs,DSCP
HRP redevelopment docs,HRP
public health docs,Health
air quality docs,Air
water quality docs,Water
urban planning docs,Urban
regional planning docs,Region
energy policy docs,Energy
Pew reports on Philadelphia,Pew
urban sustainability reports,Sustainability
Penn sustainability reports,Penn
student projects,Student
river-level and street-level views,View
architectural views and plans,Arch
aerial photography,Aerial
newspaper headlines,News
news photography,Photo
