objectid,date,date_circa,title,creator,filename,object_location,description,institution,source,source_id,rights,type,display_template,format,genre_type,collection_type,place_type,image_small,image_thumb
standard_0001,1887,,"Correspondence with John D. Rockefeller, October 1877 to February 1880","Warden, William G.",1877-1880--Warden--John_D_Rockefeller_Sr_Papers_Series_C_Correspondence_Subseries_B_Business.pdf,https://petrodelphia.penndigitalscholarship.org/storage/1877-1880--Warden--John_D_Rockefeller_Sr_Papers_Series_C_Correspondence_Subseries_B_Business.pdf,,Rockefeller Archive Center,https://dimes.rockarch.org/objects/hJUxosQ9qDoKS74bZCfrSh,,Fair use,text,pdf,application/pdf,archival document,Standard Oil,,https://petrodelphia.penndigitalscholarship.org/storage/imgderivs/small/1877-1880--Warden--John_D_Rockefeller_Sr_Papers_Series_C_Correspondence_Subseries_B_Business_sm.jpg,https://petrodelphia.penndigitalscholarship.org/storage/imgderivs/thumbnail/1877-1880--Warden--John_D_Rockefeller_Sr_Papers_Series_C_Correspondence_Subseries_B_Business_th.jpg
standard_0002,1880,,"Correspondence with John D. Rockefeller, March 1880 to May 1881","Warden, William G.",1880-1881--Warden--John_D_Rockefeller_Sr_Papers_Series_C_Correspondence_Subseries_B_Business.pdf,https://petrodelphia.penndigitalscholarship.org/storage/1880-1881--Warden--John_D_Rockefeller_Sr_Papers_Series_C_Correspondence_Subseries_B_Business.pdf,,Rockefeller Archive Center,https://dimes.rockarch.org/objects/NGYbCTmfBJyYZRzebx4nyd,,Fair use,text,pdf,application/pdf,archival document,Standard Oil,,https://petrodelphia.penndigitalscholarship.org/storage/imgderivs/small/1880-1881--Warden--John_D_Rockefeller_Sr_Papers_Series_C_Correspondence_Subseries_B_Business_sm.jpg,https://petrodelphia.penndigitalscholarship.org/storage/imgderivs/thumbnail/1880-1881--Warden--John_D_Rockefeller_Sr_Papers_Series_C_Correspondence_Subseries_B_Business_th.jpg
standard_0003,1881,,"Correspondence with John D. Rockefeller, June 1881 to January 1885","Warden, William G.",1881-1885--Warden--John_D_Rockefeller_Sr_Papers_Series_C_Correspondence_Subseries_B_Business.pdf,https://petrodelphia.penndigitalscholarship.org/storage/1881-1885--Warden--John_D_Rockefeller_Sr_Papers_Series_C_Correspondence_Subseries_B_Business.pdf,,Rockefeller Archive Center,https://dimes.rockarch.org/objects/m7KgVKmNSR8yPE9UoCPnwm,,Fair use,text,pdf,application/pdf,archival document,Standard Oil,,https://petrodelphia.penndigitalscholarship.org/storage/imgderivs/small/1881-1885--Warden--John_D_Rockefeller_Sr_Papers_Series_C_Correspondence_Subseries_B_Business_sm.jpg,https://petrodelphia.penndigitalscholarship.org/storage/imgderivs/thumbnail/1881-1885--Warden--John_D_Rockefeller_Sr_Papers_Series_C_Correspondence_Subseries_B_Business_th.jpg
standard_0004,1885,,"Correspondence with John D. Rockefeller, May 1885 to January 1890","Warden, William G.",1885-1890--Warden--John_D_Rockefeller_Sr_Papers_Series_C_Correspondence_Subseries_B_Business.pdf,https://petrodelphia.penndigitalscholarship.org/storage/1885-1890--Warden--John_D_Rockefeller_Sr_Papers_Series_C_Correspondence_Subseries_B_Business.pdf,,Rockefeller Archive Center,https://dimes.rockarch.org/objects/5mMZDLYNnKE4QaWste6QtT,,Fair use,text,pdf,application/pdf,archival document,Standard Oil,,https://petrodelphia.penndigitalscholarship.org/storage/imgderivs/small/1885-1890--Warden--John_D_Rockefeller_Sr_Papers_Series_C_Correspondence_Subseries_B_Business_sm.jpg,https://petrodelphia.penndigitalscholarship.org/storage/imgderivs/thumbnail/1885-1890--Warden--John_D_Rockefeller_Sr_Papers_Series_C_Correspondence_Subseries_B_Business_th.jpg
ref_0001,2025,,Reckoning with Fossil Fuel in Philadelphia,"Farmer, Jared",2025--Farmer--Reckoning_Fossil_Fuel_Philadelphia.pdf,https://repository.upenn.edu/bitstreams/db5385cf-7edf-4e1c-9c7c-0b0e978c9378/download,,University of Pennsylvania, ,,Creative Commons License,text,pdf,application/pdf,reference work,,,https://petrodelphia.penndigitalscholarship.org/storage/imgderivs/small/2025--Farmer--Reckoning_Fossil_Fuel_Philadelphia_sm.jpg,https://petrodelphia.penndigitalscholarship.org/storage/imgderivs/thumbnail/2025--Farmer--Reckoning_Fossil_Fuel_Philadelphia_th.jpg
ref_0002,2025,,Fenceline Risk and Environmental Justice in South and Southwest Philadelphia,"Hurdle, Jon",2025--Hurdle--Fenceline_Risk_Environmental_Justice_South_Southwest_Philadelphia.pdf,https://petrodelphia.penndigitalscholarship.org/storage/2025--Hurdle--Fenceline_Risk_Environmental_Justice_South_Southwest_Philadelphia.pdf,,University of Pennsylvania,,,Creative Commons License,text,pdf,application/pdf,reference work,,Eastwick; Grays Ferry neighborhood; Kingsessing; Point Breeze neighborhood,https://petrodelphia.penndigitalscholarship.org/storage/imgderivs/small/2025--Hurdle--Fenceline_Risk_Environmental_Justice_South_Southwest_Philadelphia_sm.jpg,https://petrodelphia.penndigitalscholarship.org/storage/imgderivs/thumbnail/2025--Hurdle--Fenceline_Risk_Environmental_Justice_South_Southwest_Philadelphia_th.jpg
ref_0003,2025,,Pennsylvania Coal and Philadelphia,"Lester, Gustave; Wolff, Jacob; Farmer, Jared",2025--Lester_Wolff_Farmer--Pennsylvania_Coal_Philadelphia.pdf,https://petrodelphia.penndigitalscholarship.org/storage/2025--Lester_Wolff_Farmer--Pennsylvania_Coal_Philadelphia.pd,,University of Pennsylvania,,,Creative Commons License,text,pdf,application/pdf,reference work,,,https://petrodelphia.penndigitalscholarship.org/storage/imgderivs/small/2025--Lester_Wolff_Farmer--Pennsylvania_Coal_Philadelphia_sm.jpg,https://petrodelphia.penndigitalscholarship.org/storage/imgderivs/thumbnail/2025--Lester_Wolff_Farmer--Pennsylvania_Coal_Philadelphia_th.jpg
ref_0004,2025,,"Philadelphia, PGW, and the Gas works at Point Breeze","McLeod, Angus; Farmer, Jared",2025--McLeod_Farmer--Philadelphia_PGW_Gas_Works_Point_Breeze.pdf,https://petrodelphia.penndigitalscholarship.org/storage/2025--McLeod_Farmer--Philadelphia_PGW_Gas_Works_Point_Breeze.pdf,,University of Pennsylvania,,,Creative Commons License,text,pdf,application/pdf,reference work,PGW,Passyunk Avenue gas works,https://petrodelphia.penndigitalscholarship.org/storage/imgderivs/small/2025--McLeod_Farmer--Philadelphia_PGW_Gas_Works_Point_Breeze_sm.jpg,https://petrodelphia.penndigitalscholarship.org/storage/imgderivs/thumbnail/2025--McLeod_Farmer--Philadelphia_PGW_Gas_Works_Point_Breeze_th.jpg
ref_0005,2025,,Lower Schuylkill River,"Pentecost-Farren, Aislinn E.",2025--Pentecost-Farren--Lower_Schuylkill_River.pdf,https://petrodelphia.penndigitalscholarship.org/storage/2025--Pentecost-Farren--Lower_Schuylkill_River.pdf,,University of Pennsylvania,,,Creative Commons License,text,pdf,application/pdf,reference work,,Schuylkill River; Tinicum (Heinz Refuge),https://petrodelphia.penndigitalscholarship.org/storage/imgderivs/small/2025--Pentecost-Farren--Lower_Schuylkill_River_sm.jpg,https://petrodelphia.penndigitalscholarship.org/storage/imgderivs/thumbnail/2025--Pentecost-Farren--Lower_Schuylkill_River_th.jpg
ref_0006,2025,,South Philadelphia Refinery Complex,"Sasko, Claire",2025--Sasko--South_Philadelphia_Refinery_Complex.pdf,https://petrodelphia.penndigitalscholarship.org/storage/2025--Sasko--South_Philadelphia_Refinery_Complex.pdf,,University of Pennsylvania,,,Creative Commons License,text,pdf,application/pdf,reference work,refinery history and policy,Refining Complex,https://petrodelphia.penndigitalscholarship.org/storage/imgderivs/small/2025--Sasko--South_Philadelphia_Refinery_Complex_sm.jpg,https://petrodelphia.penndigitalscholarship.org/storage/imgderivs/thumbnail/2025--Sasko--South_Philadelphia_Refinery_Complex_th.jpg
